2021-05-21T11:17:10.244+0700 [INFO]  agent.fsm: snapshot created: duration=0s
2021-05-21T11:17:10.246+0700 [INFO]  agent.server.raft: starting snapshot up to: index=49155
2021-05-21T11:17:10.246+0700 [INFO]  agent.server.snapshot: creating new snapshot: path=D:\Software\consul\data\raft\snapshots\5-49155-1621570630246.tmp
2021-05-21T11:17:10.255+0700 [INFO]  agent.server.snapshot: reaping snapshot: path=D:\Software\consul\data\raft\snapshots\4-16384-1619684492809
2021-05-21T11:17:10.257+0700 [INFO]  agent.server.raft: compacting logs: from=22532 to=38915
2021-05-21T11:17:10.300+0700 [INFO]  agent.server.raft: snapshot complete up to: index=49155
2021-05-21T11:28:07.616+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-05-21T11:28:07.784+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-05-21T11:28:08.249+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-05-21T11:28:08.390+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-05-21T11:28:08.820+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-05-21T11:28:08.959+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-05-21T11:49:33.813+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-05-21T11:49:33.947+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-05-21T11:49:35.440+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-05-21T11:49:35.587+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-05-21T11:49:35.976+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-05-21T11:49:36.125+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-05-21T11:49:51.287+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-05-21T11:49:51.441+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-05-21T11:49:52.825+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-05-21T11:49:53.000+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-05-21T11:49:53.274+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-05-21T11:49:53.460+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-05-21T13:11:28.268+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-05-21T13:11:28.403+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-05-21T13:11:29.642+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-05-21T13:11:29.764+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-05-21T13:11:30.068+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-05-21T13:11:30.220+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-05-21T13:15:58.309+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-05-21T13:15:58.460+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-05-21T13:16:00.018+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-05-21T13:16:00.126+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-05-21T13:16:00.471+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-05-21T13:16:00.594+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-05-21T14:23:34.556+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-05-21T14:23:34.747+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-05-21T14:23:36.086+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-05-21T14:23:36.256+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-05-21T14:23:36.613+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-05-21T14:23:36.782+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-05-21T15:40:56.612+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-05-21T15:40:56.776+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-05-21T15:40:58.250+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-05-21T15:40:58.371+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-05-21T15:40:58.730+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-05-21T15:40:58.883+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-05-21T15:47:35.377+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-05-21T15:47:35.599+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-05-21T15:47:37.273+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-05-21T15:47:37.505+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-05-21T15:47:37.604+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-05-21T15:47:37.758+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-05-21T15:58:16.200+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-05-21T15:58:16.342+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-05-21T15:58:17.750+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-05-21T15:58:17.904+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-05-21T15:58:18.123+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-05-21T15:58:18.245+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-05-21T16:04:20.540+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-05-21T16:04:20.681+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-05-21T16:04:22.021+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-05-21T16:04:22.224+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-05-21T16:04:22.514+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-05-21T16:04:22.757+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-05-21T17:40:05.097+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-05-21T17:40:05.240+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-05-21T17:40:06.216+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-05-21T17:40:06.381+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-05-21T17:40:06.634+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-05-21T17:40:06.796+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-05-21T18:15:16.253+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-05-21T18:15:16.406+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-05-21T18:15:17.780+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-05-21T18:15:17.884+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-05-21T18:15:18.131+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-05-21T18:15:18.281+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-05-21T21:42:04.977+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-05-21T21:42:05.114+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-05-21T21:42:06.676+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-05-21T21:42:06.809+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-05-21T21:42:07.010+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-05-21T21:42:07.154+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-05-21T21:50:36.703+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-05-21T21:50:36.807+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-05-21T21:50:40.941+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-05-21T21:50:41.066+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-05-21T21:52:18.201+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-05-21T21:52:18.270+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-05-21T21:52:22.269+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-05-21T21:52:22.360+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-05-21T23:18:56.374+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-05-21T23:18:56.534+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-05-21T23:18:57.976+0700 [INFO]  agent: Deregistered service: service=GeneralApi
