2021-06-21T00:46:05.702+0700 [ERROR] agent.server.rpc: multiplex conn accept failed: conn=from=127.0.0.1:51205 error="read tcp 127.0.0.1:8300->127.0.0.1:51205: wsarecv: An existing connection was forcibly closed by the remote host."
2021-06-21T14:48:35.326+0700 [INFO]  agent: Newer Consul version available: new_version=1.9.6 current_version=1.9.5
2021-06-21T14:49:41.703+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-06-21T14:49:41.876+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-06-21T14:49:42.905+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-06-21T14:49:43.062+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-06-21T14:49:43.323+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-06-21T14:49:43.463+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-06-21T14:54:48.314+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-06-21T14:54:48.469+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-06-21T14:54:49.862+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-06-21T14:54:50.035+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-06-21T14:54:50.308+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-06-21T14:54:50.446+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-06-21T14:57:00.532+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-06-21T14:57:00.721+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-06-21T14:57:01.965+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-06-21T14:57:02.117+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-06-21T14:57:02.471+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-06-21T14:57:02.606+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-06-21T15:12:05.845+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-06-21T15:12:06.041+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-06-21T15:12:07.621+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-06-21T15:12:07.751+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-06-21T15:12:07.799+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-06-21T15:12:07.971+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-06-21T15:13:40.238+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-06-21T15:13:40.379+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-06-21T15:13:41.484+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-06-21T15:13:41.648+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-06-21T15:13:41.811+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-06-21T15:13:41.936+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-06-21T15:15:07.481+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-06-21T15:15:07.633+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-06-21T15:15:08.961+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-06-21T15:15:09.082+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-06-21T15:15:09.277+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-06-21T15:15:09.394+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-06-21T15:17:22.483+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-06-21T15:17:22.728+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-06-21T15:17:23.361+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-06-21T15:17:23.513+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-06-21T15:17:23.573+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-06-21T15:17:23.633+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-06-21T17:17:02.628+0700 [INFO]  agent.fsm: snapshot created: duration=1.9101ms
2021-06-21T17:17:02.628+0700 [INFO]  agent.server.raft: starting snapshot up to: index=131079
2021-06-21T17:17:02.629+0700 [INFO]  agent.server.snapshot: creating new snapshot: path=D:\Software\consul\data\raft\snapshots\8-131079-1624270622629.tmp
2021-06-21T17:17:02.641+0700 [INFO]  agent.server.snapshot: reaping snapshot: path=D:\Software\consul\data\raft\snapshots\7-98309-1623123348495
2021-06-21T17:17:02.642+0700 [INFO]  agent.server.raft: compacting logs: from=104455 to=120839
2021-06-21T17:17:02.688+0700 [INFO]  agent.server.raft: snapshot complete up to: index=131079
2021-06-21T18:50:50.587+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-06-21T18:50:50.763+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-06-21T18:50:52.162+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-06-21T18:50:52.340+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-06-21T18:50:52.435+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-06-21T18:50:52.607+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-06-21T19:00:51.150+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-06-21T19:00:51.330+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-06-21T19:00:52.883+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-06-21T19:00:53.007+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-06-21T19:00:53.229+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-06-21T19:00:53.320+0700 [INFO]  agent: Synced service: service=IdentityServer
